Environment,Model,Iteration,Tokens_Per_Second,Time_To_First_Token_S,Generation_Time_S,Prompt_Tokens,Generation_Tokens
vm,Llama-3.2-1B-Instruct-4bit,126,128.43492341952916,0.07808420899999646,,,
exec,Llama-3.2-1B-Instruct-4bit,127,132.04907587811522,0.060470915999985664,,,
vm,Llama-3.2-1B-Instruct-4bit,127,128.34194040508464,0.07621254100001806,,,
exec,Llama-3.2-1B-Instruct-4bit,128,131.93605941110437,0.060305125000013504,,,
vm,Llama-3.2-1B-Instruct-4bit,128,128.38084176710387,0.07718141699996295,,,
exec,Llama-3.2-1B-Instruct-4bit,129,131.94000904252832,0.05981558299998824,,,
vm,Llama-3.2-1B-Instruct-4bit,129,128.31658106484625,0.0768659580000417,,,
exec,Llama-3.2-1B-Instruct-4bit,130,132.09309441424742,0.06069595799999661,,,
vm,Llama-3.2-1B-Instruct-4bit,130,128.52703042211877,0.07461133399999653,,,
exec,Llama-3.2-1B-Instruct-4bit,131,131.8496329842889,0.059314625000013166,,,
vm,Llama-3.2-1B-Instruct-4bit,131,128.5504476175806,0.07426920899996503,,,
exec,Llama-3.2-1B-Instruct-4bit,132,132.1345535387459,0.06044000000002825,,,
vm,Llama-3.2-1B-Instruct-4bit,132,127.51107211886631,0.0711727910000377,,,
exec,Llama-3.2-1B-Instruct-4bit,133,132.1679293990641,0.05970641699997259,,,
vm,Llama-3.2-1B-Instruct-4bit,133,128.34869130710737,0.07388512500000388,,,
exec,Llama-3.2-1B-Instruct-4bit,134,132.03073610759105,0.0595178329999726,,,
vm,Llama-3.2-1B-Instruct-4bit,134,128.24147337233958,0.07565020800001321,,,
exec,Llama-3.2-1B-Instruct-4bit,135,132.23542345385678,0.059468666999975994,,,
vm,Llama-3.2-1B-Instruct-4bit,135,128.48847837440218,0.07546691699997155,,,
exec,Llama-3.2-1B-Instruct-4bit,136,132.057167599437,0.06084137499999542,,,
vm,Llama-3.2-1B-Instruct-4bit,136,128.4520951772326,0.07499495799999067,,,
exec,Llama-3.2-1B-Instruct-4bit,137,132.13640059295653,0.059191833999989285,,,
vm,Llama-3.2-1B-Instruct-4bit,137,127.81916253530835,0.0745979999999804,,,
exec,Llama-3.2-1B-Instruct-4bit,138,132.2573304012829,0.06016379200002575,,,
vm,Llama-3.2-1B-Instruct-4bit,138,128.535481515238,0.07393366600001627,,,
exec,Llama-3.2-1B-Instruct-4bit,139,132.0371684629218,0.0600021249999827,,,
vm,Llama-3.2-1B-Instruct-4bit,139,127.30100608819643,0.07529708300000948,,,
exec,Llama-3.2-1B-Instruct-4bit,140,132.22582722797947,0.06077045900002531,,,
vm,Llama-3.2-1B-Instruct-4bit,140,128.68335688130136,0.07214645799996333,,,
exec,Llama-3.2-1B-Instruct-4bit,141,131.86692898996006,0.060232917000007546,,,
vm,Llama-3.2-1B-Instruct-4bit,141,128.364136965537,0.07492904200000794,,,
exec,Llama-3.2-1B-Instruct-4bit,142,132.11592867636287,0.059573375000013584,,,
vm,Llama-3.2-1B-Instruct-4bit,142,128.43416901122313,0.07350191699998732,,,
exec,Llama-3.2-1B-Instruct-4bit,143,131.97833853964588,0.059810583999990286,,,
vm,Llama-3.2-1B-Instruct-4bit,143,128.00322408120658,0.07486266600000135,,,
exec,Llama-3.2-1B-Instruct-4bit,144,132.00842765522367,0.059535917000005156,,,
vm,Llama-3.2-1B-Instruct-4bit,144,127.01618029847404,0.0867567079999958,,,
exec,Llama-3.2-1B-Instruct-4bit,145,132.20836867477897,0.059917624999968666,,,
vm,Llama-3.2-1B-Instruct-4bit,145,128.43229507821573,0.07568091699999968,,,
exec,Llama-3.2-1B-Instruct-4bit,146,132.00956785752518,0.060428290999993806,,,
vm,Llama-3.2-1B-Instruct-4bit,146,128.4026117177495,0.07597704200003363,,,
exec,Llama-3.2-1B-Instruct-4bit,147,132.07279194817104,0.06024062500000582,,,
vm,Llama-3.2-1B-Instruct-4bit,147,127.28489753503443,0.07679250000001048,,,
exec,Llama-3.2-1B-Instruct-4bit,148,132.10714795045752,0.06041166699998257,,,
vm,Llama-3.2-1B-Instruct-4bit,148,128.11311318149296,0.07956408299997975,,,
